ID,Tinea captisis,Alopecia areata,Melanoma,Healthy scalp,Img,colour
142,0,0,0,1,142.jpeg,white
143,0,0,0,1,143.jpeg,pink
144,0,0,0,1,144.jpeg,white
145,0,0,0,1,145.jpeg,peach
146,0,0,0,1,146.jpeg,peach
147,0,0,0,1,147.jpeg,white
148,0,0,0,1,148.jpeg,pink
149,0,0,0,1,149.jpeg,pink
150,0,0,0,1,150.jpeg,peach
151,0,0,0,1,151.jpeg,white
152,0,0,0,1,152.jpeg,white
153,0,0,0,1,153.jpeg,pink
154,0,0,0,1,154.jpeg,pink
155,0,0,0,1,155.jpeg,pink
156,0,0,0,1,156.jpeg,pink
157,0,0,0,1,157.jpeg,pink
158,0,0,0,1,158.jpeg,pink
159,0,0,0,1,159.jpeg,pink
160,0,0,0,1,160.jpeg,white
161,0,0,0,1,161.jpeg,white
162,0,0,0,1,162.jpeg,peach
163,0,0,0,1,163.jpeg,pink
164,0,0,0,1,164.jpeg,white
165,0,0,0,1,165.jpeg,pink
166,0,0,0,1,166.jpeg,pink
167,0,0,0,1,167.jpeg,pink
168,0,0,0,1,168.jpeg,pink
169,0,0,0,1,169.jpeg,peach
170,0,0,0,1,170.jpeg,white
