ID,Tinea captisis,Alopecia areata,Melanoma,Healthy scalp,Img,colour
48,0,1,0,0,48.jpeg,peach
49,0,1,0,0,49.jpeg,yellow
50,0,1,0,0,50.jpeg,peach
51,0,1,0,0,51.jpeg,peach
52,0,1,0,0,52.jpeg,red
53,0,1,0,0,53.jpeg,pink
54,0,1,0,0,54.jpeg,peach
55,0,1,0,0,55.jpeg,peach
56,0,1,0,0,56.jpeg,yellow
57,0,1,0,0,57.jpeg,peach
58,0,1,0,0,58.jpeg,peach
59,0,1,0,0,59.jpeg,yellow
60,0,1,0,0,60.jpeg,peach
61,0,1,0,0,61.jpeg,pink
62,0,1,0,0,62.jpeg,peach
63,0,1,0,0,63.jpeg,pink
64,0,1,0,0,64.jpeg,peach
65,0,1,0,0,65.jpeg,yellow
66,0,1,0,0,66.jpeg,peach
67,0,1,0,0,67.jpeg,yellow
68,0,1,0,0,68.jpeg,peach
69,0,1,0,0,69.jpeg,yellow
70,0,1,0,0,70.jpeg,peach
71,0,1,0,0,71.jpeg,pink
72,0,1,0,0,72.jpeg,peach
73,0,1,0,0,73.jpeg,peach
74,0,1,0,0,74.jpeg,peach
75,0,1,0,0,75.jpeg,yellow
76,0,1,0,0,76.jpeg,peach
77,0,1,0,0,77.jpeg,peach
78,0,1,0,0,78.jpeg,peach
79,0,1,0,0,79.jpeg,yellow
80,0,1,0,0,80.jpeg,yellow
81,0,1,0,0,81.jpeg,peach
82,0,1,0,0,82.jpeg,peach
83,0,1,0,0,83.jpeg,peach
84,0,1,0,0,84.jpeg,yellow
85,0,1,0,0,85.jpeg,yellow
86,0,1,0,0,86.jpeg,peach
87,0,1,0,0,87.jpeg,peach
88,0,1,0,0,88.jpeg,peach
89,0,1,0,0,89.jpeg,peach
90,0,1,0,0,90.jpeg,yellow
91,0,1,0,0,91.jpeg,peach
92,0,1,0,0,92.jpeg,peach
93,0,1,0,0,93.jpeg,peach
